target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
DARK,un90,325.1002356,-23.1761544,2,54255.0342210995,1800.0,169
DARK,un91,325.1002356,-23.1761544,2,54255.0592210995,1800.0,170
DARK,un92,325.1002356,-23.1761544,2,54255.103665544,1800.0,171
UVFLAT,un93,325.100235575,-23.17615440717,2,54249.998109919,1000.0,172
UVFLAT,un94,325.100235575,-23.17615440717,2,54250.0113043634,400.0,173
UVFLAT,un95,325.100235575,-23.17615440717,2,54250.0175543634,30.0,174
INTFLAT,un96,325.101697724,-23.17567400106,2,54956.0369503819,20.0,175
INTFLAT,un97,325.101697724,-23.17567400106,2,54956.0383392708,20.0,176
DARK,un98,325.101631234,-23.17730540527,3,51330.0121783912,120.0,177
BIAS,un99,325.101631234,-23.17730540527,2,51330.0000487616,0.0,178
DARK,un100,325.101631234,-23.17730540527,2,51330.0005580208,960.0,2
BIAS,un101,325.101631234,-23.17730540527,2,51330.0145857986,0.0,3
DARK,un102,325.101631234,-23.17730540527,3,51330.0318658218,120.0,4
BIAS,un103,325.101631234,-23.17730540527,2,51330.0197361921,0.0,5
DARK,un104,325.101631234,-23.17730540527,2,51330.0202454514,960.0,6
BIAS,un105,325.101631234,-23.17730540527,2,51330.0342732292,0.0,7
DARK,un106,325.1014455426,-23.17734433898,1,51329.8839495023,1380.0,8
DARK,un107,325.1015007547,-23.17722956841,1,51329.9451184028,1380.0,9
DARK,un108,325.1015007547,-23.17722956841,1,51329.9246320949,1380.0,10
DARK,un109,325.101631234,-23.17730540527,1,51329.9711254282,1380.0,11
NONE,un110,325.1012623849,-23.17759722082,2,51329.5770280093,10.0,13
NONE,un111,325.1012623849,-23.17759722082,2,51329.5787754282,1.0,14
NONE,un112,325.1013569199,-23.17748021741,2,51329.7078495023,10.0,15
NONE,un113,325.1013569199,-23.17748021741,2,51329.7095973032,1.0,16
NONE,un114,325.1014773808,-23.17753826643,2,51330.1868080208,1.0,17
NONE,un115,325.1014773808,-23.17753826643,2,51330.1881043171,10.0,18
NONE,un116,325.1014773808,-23.17753826643,2,51330.2470973032,1.0,19
NONE,un117,325.1014773808,-23.17753826643,2,51330.2483935995,10.0,20
NONE,un118,325.1015449946,-23.17771863594,2,51330.4464491551,10.0,21
NONE,un119,325.1015449946,-23.17771863594,2,51330.4481969097,1.0,22
NONE,un120,325.1015449946,-23.17771863594,2,51330.5678150463,1.0,24
NONE,un121,325.1015449946,-23.17771863594,2,51330.5691113426,10.0,25
NONE,un122,325.1014455426,-23.17734433898,2,51329.7893195255,1.0,26
NONE,un123,325.1014455426,-23.17734433898,2,51329.7906158218,10.0,27
NONE,un124,325.1014455426,-23.17734433898,2,51329.8424446759,1.0,28
NONE,un125,325.1014455426,-23.17734433898,2,51329.8437409722,10.0,29
NONE,un126,325.1015507602,-23.1774105109,2,51330.1153150463,1.0,30
NONE,un127,325.1015507602,-23.1774105109,2,51330.1166113426,10.0,31
NONE,un128,325.1016298546,-23.17760623734,2,51330.5872361921,1.0,32
NONE,un129,325.1016298546,-23.17760623734,2,51330.5885324884,10.0,33
NONE,un130,325.1016298546,-23.17760623734,2,51330.6479076389,1.0,35
NONE,un131,325.1016298546,-23.17760623734,2,51330.6492039352,10.0,36
NONE,un132,325.1016730269,-23.17748852171,2,51330.7021087616,1.0,37
NONE,un133,325.1016730269,-23.17748852171,2,51330.7034050579,10.0,38
NONE,un134,325.1016730269,-23.17748852171,2,51330.7206272801,1.0,39
NONE,un135,325.1016730269,-23.17748852171,2,51330.7219235764,10.0,40
NONE,un136,325.101631234,-23.17730540527,2,51330.0486946759,1.0,41
NONE,un137,325.101631234,-23.17730540527,2,51330.0499909722,10.0,42
